screen_time_hours,sleep_duration_hours,study_time_hours,workout_time_hours,stress_level,anxiety_level,coffee_intake_mg,socializing_time_hours,water_intake_litres,junk_food_intake,burnout_score
6.993428306022466,8.389266321297463,6.798710873172004,1.3891805380833189,3,2,203.49198881284735,2.9428461717327297,1.7991961446714353,3,4.6
5.72347139765763,9.864124960705196,5.849267365825538,0.7244071418357333,3,1,76.55929902225564,3.110348979914293,1.9227305028850652,2,2.83
7.295377076201385,4.902148639271289,4.119260739840349,0.5909005582888465,3,1,276.2430005642479,3.0832732434662167,2.963103781366289,3,3.81
9.046059712816051,7.844453855035856,2.706126444588852,0.998312771294524,4,3,61.90877696179422,1.4335932570375145,1.476088972936154,1,5.59
5.531693250553328,6.024036146317259,5.39644662722718,0.9149076887375358,5,2,58.0676092608162,1.4207998422786763,1.5927478946191949,5,7.55
5.531726086101639,6.269311924352956,4.786970770843499,0.7733859753363624,5,1,21.215083704265055,1.775026700711685,2.692162209077125,5,6.3
9.158425631014783,6.111409113641696,5.790386440055465,1.3481937237283577,2,1,110.92961429895988,2.6362373753789257,1.8125978077524643,3,2.72
7.534869458305818,5.704013845480276,5.270343603363939,1.4776526042852554,5,4,94.8417740173143,1.4893047302458373,1.7746893579625524,3,8.53
5.061051228130096,7.072782441917241,6.09910543063867,1.0442034431459237,5,4,49.06807153285877,1.8807375264097521,2.517431928386717,2,7.64
7.085120087171929,5.753574825383444,2.9295295768788643,1.738765040527631,3,1,309.1847283394819,2.27359381633945,1.2899021913591244,4,4.56
5.0731646143750755,7.405685238669758,6.634788131268651,0.4291554429332475,3,3,192.39045571093158,1.0951080739521335,2.4107272146267027,4,5.94
5.068540492859486,6.924642835826295,4.395199209384799,0.903170270360141,2,5,182.97876318853693,1.0318917116708823,2.0228082146607718,2,5.7
6.483924543132068,6.641577929700386,8.150521745250531,0.6415888396985976,1,5,277.1331535398341,1.8417361185960095,2.2324010654159885,4,5.83
2.173439510684404,5.638654506937604,2.6216243638208643,0.06673169146347002,2,1,170.50062336343476,1.9741788149516415,2.223015477626063,1,1.57
2.5501643349739345,6.134843004147501,7.471927606330499,0.9586596570786504,2,1,90.10558387958883,2.433885480001643,1.686008706758681,4,2.89
4.875424941518054,8.133086838738635,4.395821566925296,0.9391262458083582,4,1,13.983220598587451,2.671886574951556,2.525591890074953,2,3.68
3.9743377593311524,7.751375781436571,2.6971639927711033,1.7567248716210655,4,3,85.5954086125277,0.9009371794283514,1.7249311442609654,4,6.62
6.628494665190548,5.533667132802173,3.032228331891357,1.3154058422773889,2,4,270.433248040677,1.1879150680564354,2.2044245094993706,5,6.35
4.183951848957578,7.148998458143839,3.3593053836113596,0.48790658783539753,2,1,49.5731107451072,1.0292477124368982,2.618862242764568,3,2.2
3.175392597329417,8.127080685057683,4.848331892803833,1.927046283167094,2,1,178.25017903983013,3.4124474015914217,2.689450849923235,1,1.2
8.931297537843108,4.495892078317942,5.0456709760709995,1.6105168477626766,5,2,232.7140114468446,1.8797294097974646,1.8664368320296538,5,8.03
5.548447399026928,7.815040288569903,2.852599992122842,1.291048851734308,4,3,172.82758723546013,2.016129295245021,2.2315676371205053,5,7.13
6.1350564093758475,6.00606436158123,3.951290815478034,0.886757950575084,2,1,181.91866630324665,2.057774364013513,1.8202556048981902,2,2.29
3.1505036275730864,7.855898002889739,8.284540717223727,0.5202803816382602,3,2,202.4483130298741,1.2843299862823607,3.251898113634387,3,4.41
4.911234550949635,5.855111265186225,7.455086340201422,0.8138966119644735,3,5,180.34246974581197,3.5642695189460305,2.3900630029369094,3,7.05
6.2218451794197325,4.292676849003222,4.872647339348064,1.544374309852093,5,1,278.7259337978626,2.411026654818728,2.042029217918468,1,5.32
3.6980128451553944,4.558686343175256,4.076006956336401,1.9422931529673044,5,1,66.77666174179116,2.039590529777949,2.156281086728871,2,5.1
6.751396036691344,7.072127419992073,4.240062653436523,1.7716217641360945,1,2,169.23399014710287,0.894743578849434,2.2035527077230337,1,1.58
4.7987226201623905,7.389583752582222,5.227035945460833,0.755575289106863,1,3,4.540765280228186,0.8380675083437552,2.218371770391741,4,3.36
5.416612500413446,5.643525062343388,1.9544148696031889,0.4401912833554944,1,1,0.0,1.6910924683942317,1.8800008911767214,5,2.07
4.796586775541206,7.957888688166061,3.4852469251533096,1.070443123455602,5,5,143.4663175318413,1.3000082064281702,1.8028363503824125,1,8.3
9.704556369017876,4.50771990659656,0.6628318522448211,0.11578031721857418,5,1,193.47036551558054,0.9325556544534481,1.9240733191367534,5,7.13
5.973005550524132,6.900880302029025,4.798446245210559,1.1615838570923906,5,5,280.4534221790052,1.6290419804284446,1.4301541474763964,2,9.25
3.8845781420881993,5.183475700356315,5.294391879405482,0.9261987068506656,3,4,343.58333864083704,1.7835719717241107,2.35913720348723,4,7.06
7.645089824206378,6.022245838296762,3.033627075401252,0.7669817490658789,5,4,255.58885365323846,2.1417854204602698,1.5991474786755138,2,8.34
3.5583127000579555,7.071098006974621,7.147973526580065,0.20264846636660228,3,5,208.17325955184228,1.496080528625737,1.4700249605076416,4,7.83
6.4177271900095105,5.709379952074071,1.5484686739953175,1.2568000532848582,1,3,162.79718846190522,0.9923993053399689,1.9928227667179257,4,3.74
2.080659752240449,6.423166683655262,1.0712502395803596,0.7336495801690444,1,1,27.501754945329807,1.027079114008753,1.9349386851550567,5,1.9
3.343627902203139,8.509439213821661,4.448903637119944,0.415041582144856,1,1,138.31707154065614,3.2129727292261876,2.124817237894494,2,0.68
6.393722471738247,6.134662195715277,6.094196605224309,0.0,2,4,253.23014010065805,0.7482423136382577,1.7158973153017951,2,5.34
7.476933159990821,8.253538168097712,7.367855382915737,0.9862425474746819,2,5,221.86254848224326,2.36318229829127,1.8037287208845132,1,5.43
6.342736562379941,5.305439718013573,3.08223147426212,1.886125798334872,4,1,47.09326826536413,2.519546329774396,2.3460597525442455,2,3.95
